Example_ID	SourceText	Gloss	Translation	Glossing_Comments	Reference_ID	Page
jup01	yub=ʔãy-ǎn, děh hɔn-yóʔ... tɨh d'oʔ-macá-b'ay-áh	cipó.vine=woman-OBJ water vomit-SEQ 3SG take-gain.consciousness-AGAIN-DECL	Having (ritually) vomited water, he created cipó vine-woman.	SEQ: sequential; AGAIN : repetitive aspect/topic-shift	epps_grammar_2008	173
jup02	ʔãh cug'æt=n'ǎn pũhũt-d'əh-hi-yɨʔ-ɨy	1SG leaf/paper=PL.OBJ blow-send-descend-TEL-DYNM	I blew the papers down.	TEL: telic, contrastive emphasis; DYNM: dynamic	epps_grammar_2008	178
jup03	tɨh pəd-hi-y'ǽt-yɨʔ-póʔ-ay-áh, tɨh=tæ̃hʔíp=pog-ǎn mɔhɔy=wəd-ǎn	3SG roll-descend-lay-TEL-EMPH1-INCH-DECL 3SG=child.father=EMPH1-OBJ deer=RESP-OBJ	She rolled him out onto the ground, her husband, the Deer.	TEL: telic, EMPH1: emphasis 1; INCH: inchoative; RESP: respect marker	epps_grammar_2008	176
jup04	hɔhɔh=mah tɨh ʔey-yɔhɔy-ɔh	frog=REP 3SG call-search-DECL	He was calling and searching for the frog.	REP: reportive evidential	epps_grammar_2008	175
jup05	wãʔ tæ̃hʔín túk-úy	vulture child.mother want-DYNM	Vulture wants a wife (i.e., he wants to get married).	DYNM: dynamic	epps_grammar_2008	174
she01	dēygn̄ yí-fyááyń-əra kòb-tə	girl.F.DEF 3FS.POSS-frog.F.DEF-ACC take-SS	The girl took the frog and...	3FS: third person feminine singular subject clitic; SS: same subject	hellenthal_grammar_2010	258
she02	kútʃì-ra há=buutʂ'u-k-ə	chicken-ACC 3MS=pluck-REAL-STI	He plucked a chicken.	3MS: third person masculine singular subject clitic; REAL: realis; STI: indirect stance marker	hellenthal_grammar_2010	259
she03	há=ȿóóȿ-ǹ-ȿ-ara yááb-m̀-s dufu-t=á wuȿ-ǹ	3MS=snake-DEF-M-ACC man-DEF-M hit-SS=3MS kill-DS	The man hit the snake and killed it; ...	3MS: third person masculine singular subject clitic; SS: same subject; DS: different subject	hellenthal_grammar_2010	259
ude01	mafa imo:-ni bua tue-ni diga-mi ina-ini	bear fat-3SG place winter-3SG eat-INF enough-3SG	Bear fat is enough to eat in the winter time.	none	nikolaeva_grammar_2001	122
ude02	zekpu-ne-i zeu	eat-DEST-IMP.2SG food	Come to eat some food.	DEST: destinative case	nikolaeva_grammar_2001	122
ude03	nada au teti-gi-e-nie joxoso-mo au-wa	seven cap dress-REP-PAST-3SG kettle-ADJ cap-ACC	He put on seven caps, caps made of kettles.	REP: repetitive; ADJ: adjectival derivational suffix	nikolaeva_grammar_2001	120
ude04	in'ei ikteme-ne:-ni pauza	dog bite-DIS-PAST-3SG roe	The dogs bit the roe.	DIS: disjunction	nikolaeva_grammar_2001	123
ude05	we:-tigi ŋene-ze-fi seutigi diga-na-za-fi	forest-LAT go-SUBJ-1PL.IN nut eat-DEST-SUBJ-1PL.IN	Let us go to the forest and eat some nuts.	LAT: lative case; IN: inclusive; DEST: destinative case	nikolaeva_grammar_2001	121
ude06	nua-ni (men-e) sita-i ise:-ni	he-3SG (ref-0) son-REF see.PAST-3SG	Heᵢ saw hisᵢ son.	REF: reflexive	nikolaeva_grammar_2001	775
css01	sukmu-ka hemečʔa suku·me	is smoking I one cigarette [objective]	I'm smoking a cigarette.	none	ocrand_mutsun_1977	150
kor01	minsu-neun sagwa*(-leul) sa-ss-da	minsu-TOP apple-LEUL buy-PST-DEC	Minsu (, he) bought APPLES.	DEC: declarative	kwon_differential_2008	263
kor02	(...) ilekhey nul sayngkak ha-ku iss-ta-ku	such always thought do-LK exist	I always think so.	LK: linker	lee_quantitative_2009	43
kor03	ipen hanki-nun sensayng-nim kwamok-ul ses kaluchi-si-e	this semester-TOP teacher course-ACC three teach	The teacher teaches three courses this semester.	none	lee_quantitative_2009	49
kor04	kun kenmwul-i cenlyek tel sse-ya hay	big building-NOM energy less consume must	Big building should consume less energy. 	none	lee_quantitative_2009	49
kor05	minsu-neun sagwa(-leul) meog-goiss-da	minsu-TOP apple(-LEUL) eat-PROG-DEC	Minsu is eating apples.	DEC: declarative	kwon_differential_2008	259
kor06	yeongmi-ga uli-leul moim-e chodae ha-ess-eo	yeongmi-GA uli-LEUL meeting-LOC invitation do-PST-DEC^INF	Yeongmi invited US to the meeting.	DEC^INF: declarative informal	kwon_differential_2008	263
komnzo01	rusa räkumg-si=r zane ä\fiyok/wrth (.) srak=é	deer attract-NMLZ=PURP DEM:PROX 2|3PL:SBJ>2|3PL:OBJ:NPST:IPFV/make (.) boy=ERG.NSG	They make this one for attracting deer ... the boys (make it).	NPST: non-past; NSG: non-singular	dohler_grammar_2018	141
komnzo02	nabi tuti=n fä fof zu\mirwa/nzrm füsfüs=f	bamboo branch=LOC DIST EMPH 2|3SG:SBJ>3SG.FEM:OBJ:PST:DUR/swing wind=ERG	The wind was swinging (the lamp) on the bamboo branch.	EMPH: emphatic; FEM: feminine	dohler_grammar_2018	141
rap01	he tu'u he haka uru i te 'uha e Ŋumi ki roto ki te hare ki a Oti	NTR arrive NTR CAUS enter ACC ART chicken AG Ngumi to inside to ART house to PROP Oti	Ngumi arrived and put the chicken in the house for Oti.	NTR: neutral aspect; AG: agentive; PROP: proper article	kieviet_grammar_2017	382
rap02	he hakarere e te hānau momoko	NTR leave AG ART race slender	The 'slender race' left them.	NTR: neutral aspect; AG: agentive	kieviet_grammar_2017	383
rap03	he hakaroŋo mai tū taŋata era i tū vehi era	NTR listen hither DEM man DIST ACC DEM song DIST	The man listened to that song.	NTR: neutral aspect	kieviet_grammar_2017	379
rap04	he hakaroŋo atu e tū taŋata era i tū vehi era	NTR listen away AG DEM man DIST ACC DEM song DIST	The man listened to that song.	NTR: neutral aspect; AG: agentive	kieviet_grammar_2017	379
rap05	¡ka 'a'aru mai koe i te poki!	IMP grab hither 2SG ACC ART child	Grab the child!	none	kieviet_grammar_2017	392
