ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Source
jup01,jup,"yub=ʔãy-ǎn, děh hɔn-yóʔ... tɨh d'oʔ-macá-b'ay-áh","yub=ʔãy-ǎn,\tděh\thɔn-yóʔ...\ttɨh\td'oʔ-macá-b'ay-áh",cipó.vine=woman-OBJ\twater\tvomit-SEQ\t3SG\ttake-gain.consciousness-AGAIN-DECL,"Having (ritually) vomited water, he created cipó vine-woman.",,SEQ: sequential; AGAIN : repetitive aspect/topic-shift,epps_grammar_2008[173]
jup02,jup,ʔãh cug'æt=n'ǎn pũhũt-d'əh-hi-yɨʔ-ɨy,ʔãh\tcug'æt=n'ǎn\tpũhũt-d'əh-hi-yɨʔ-ɨy,1SG\tleaf/paper=PL.OBJ\tblow-send-descend-TEL-DYNM,I blew the papers down.,,"TEL: telic, contrastive emphasis; DYNM: dynamic",epps_grammar_2008[178]
jup03,jup,"tɨh pəd-hi-y'ǽt-yɨʔ-póʔ-ay-áh, tɨh=tæ̃hʔíp=pog-ǎn mɔhɔy=wəd-ǎn","tɨh\tpəd-hi-y'ǽt-yɨʔ-póʔ-ay-áh,\ttɨh=tæ̃hʔíp=pog-ǎn\tmɔhɔy=wəd-ǎn",3SG\troll-descend-lay-TEL-EMPH1-INCH-DECL\t3SG=child.father=EMPH1-OBJ\tdeer=RESP-OBJ,"She rolled him out onto the ground, her husband, the Deer.",,"TEL: telic, EMPH1: emphasis 1; INCH: inchoative; RESP: respect marker",epps_grammar_2008[176]
jup04,jup,hɔhɔh=mah tɨh ʔey-yɔhɔy-ɔh,hɔhɔh=mah\ttɨh\tʔey-yɔhɔy-ɔh,frog=REP\t3SG\tcall-search-DECL,He was calling and searching for the frog.,,REP: reportive evidential,epps_grammar_2008[175]
jup05,jup,wãʔ tæ̃hʔín túk-úy,wãʔ\ttæ̃hʔín\ttúk-úy,vulture\tchild.mother\twant-DYNM,"Vulture wants a wife (i.e., he wants to get married).",,DYNM: dynamic,epps_grammar_2008[174]
she01,she,dēygn̄ yí-fyááyń-əra kòb-tə,dēygn̄\tyí-fyááyń-əra\tkòb-tə,girl.F.DEF\t3FS.POSS-frog.F.DEF-ACC\ttake-SS,The girl took the frog and...,,3FS: third person feminine singular subject clitic; SS: same subject,hellenthal_grammar_2010[258]
she02,she,kútʃì-ra há=buutʂ'u-k-ə,kútʃì-ra\thá=buutʂ'u-k-ə,chicken-ACC\t3MS=pluck-REAL-STI,He plucked a chicken.,,3MS: third person masculine singular subject clitic; REAL: realis; STI: indirect stance marker,hellenthal_grammar_2010[259]
she03,she,há=ȿóóȿ-ǹ-ȿ-ara yááb-m̀-s dufu-t=á wuȿ-ǹ,há=ȿóóȿ-ǹ-ȿ-ara\tyááb-m̀-s\tdufu-t=á\twuȿ-ǹ,3MS=snake-DEF-M-ACC\tman-DEF-M\thit-SS=3MS\tkill-DS,The man hit the snake and killed it; ...,,3MS: third person masculine singular subject clitic; SS: same subject; DS: different subject,hellenthal_grammar_2010[259]
ude01,ude,mafa imo:-ni bua tue-ni diga-mi ina-ini,mafa\timo:-ni\tbua\ttue-ni\tdiga-mi\tina-ini,bear\tfat-3SG\tplace\twinter-3SG\teat-INF\tenough-3SG,Bear fat is enough to eat in the winter time.,,none,nikolaeva_grammar_2001[122]
ude02,ude,zekpu-ne-i zeu,zekpu-ne-i\tzeu,eat-DEST-IMP.2SG\tfood,Come to eat some food.,,DEST: destinative case,nikolaeva_grammar_2001[122]
ude03,ude,nada au teti-gi-e-nie joxoso-mo au-wa,nada\tau\tteti-gi-e-nie\tjoxoso-mo\tau-wa,seven\tcap\tdress-REP-PAST-3SG\tkettle-ADJ\tcap-ACC,"He put on seven caps, caps made of kettles.",,REP: repetitive; ADJ: adjectival derivational suffix,nikolaeva_grammar_2001[120]
ude04,ude,in'ei ikteme-ne:-ni pauza,in'ei\tikteme-ne:-ni\tpauza,dog\tbite-DIS-PAST-3SG\troe,The dogs bit the roe.,,DIS: disjunction,nikolaeva_grammar_2001[123]
ude05,ude,we:-tigi ŋene-ze-fi seutigi diga-na-za-fi,we:-tigi\tŋene-ze-fi\tseutigi\tdiga-na-za-fi,forest-LAT\tgo-SUBJ-1PL.IN\tnut\teat-DEST-SUBJ-1PL.IN,Let us go to the forest and eat some nuts.,,LAT: lative case; IN: inclusive; DEST: destinative case,nikolaeva_grammar_2001[121]
ude06,ude,nua-ni (men-e) sita-i ise:-ni,nua-ni\t(men-e)\tsita-i\tise:-ni,he-3SG\t(ref-0)\tson-REF\tsee.PAST-3SG,Heᵢ saw hisᵢ son.,,REF: reflexive,nikolaeva_grammar_2001[775]
css01,css,sukmu-ka hemečʔa suku·me,sukmu-ka\themečʔa\tsuku·me,is\tsmoking\tI\tone\tcigarette\t[objective],I'm smoking a cigarette.,,none,ocrand_mutsun_1977[150]
kor01,kor,minsu-neun sagwa*(-leul) sa-ss-da,minsu-neun\tsagwa*(-leul)\tsa-ss-da,minsu-TOP\tapple-LEUL\tbuy-PST-DEC,"Minsu (, he) bought APPLES.",,DEC: declarative,kwon_differential_2008[263]
kor02,kor,(...) ilekhey nul sayngkak ha-ku iss-ta-ku,(...)\tilekhey\tnul\tsayngkak\tha-ku\tiss-ta-ku,such\talways\tthought\tdo-LK\texist,I always think so.,,LK: linker,lee_quantitative_2009[43]
